order_id,customer_id,order_date,order_status,order_source,device_type,zip,sales_employee_id,comment
1,58578,2012-07-04,delivered,paid_search,desktop,1109,EMP0103,"Dịch vụ chăm sóc khách hàng chuyên nghiệp, thái độ thân thiện và lịch sự."
2,58621,2012-07-04,returned,paid_search,mobile,1330,EMP0180,"Dịch vụ ổn định, nhân viên luôn sẵn sàng hỗ trợ khi cần."
3,58811,2012-07-04,delivered,direct,desktop,1473,EMP0093,Khách hàng không có thêm phản hồi về chất lượng hỗ trợ.
4,59453,2012-07-04,delivered,referral,desktop,2360,EMP0015,"Phản hồi thắc mắc đầy đủ, hỗ trợ xuyên suốt quá trình đặt hàng."
6,57821,2012-07-06,delivered,email_campaign,mobile,2886,EMP0107,Khách hàng đánh giá mức độ hài lòng ở mức khá.
7,57820,2012-07-06,delivered,organic_search,tablet,2886,EMP0072,"Tư vấn chi tiết, thái độ chuyên nghiệp và thân thiện."
8,57818,2012-07-06,delivered,email_campaign,mobile,2886,EMP0189,"Hỗ trợ nhanh chóng, tư vấn rõ ràng, khách hàng hài lòng với trải nghiệm."
9,49102,2012-07-06,delivered,paid_search,tablet,5262,EMP0021,"Quá trình hỗ trợ diễn ra bình thường, đúng quy trình."
10,49101,2012-07-06,delivered,organic_search,desktop,5262,EMP0103,"Nhân viên giao tiếp tốt, xử lý yêu cầu đúng hẹn và tận tâm."
13,40638,2012-07-06,delivered,social_media,tablet,7456,EMP0122,"Quá trình hỗ trợ diễn ra bình thường, đúng quy trình."
15,41782,2012-07-06,shipped,paid_search,mobile,7726,EMP0075,"Chăm sóc khách hàng tốt, thời gian phản hồi ngắn."
16,41028,2012-07-05,delivered,social_media,mobile,7830,EMP0088,"Hỗ trợ nhanh chóng, tư vấn rõ ràng, khách hàng hài lòng với trải nghiệm."
17,42030,2012-07-05,delivered,email_campaign,tablet,8016,EMP0117,Khách hàng đánh giá cao sự chủ động và trách nhiệm của bộ phận hỗ trợ.
18,42282,2012-07-06,delivered,organic_search,mobile,8075,EMP0100,"Nhân viên giao tiếp tốt, xử lý yêu cầu đúng hẹn và tận tâm."
20,42962,2012-07-04,delivered,organic_search,tablet,8620,EMP0104,"Phản hồi thắc mắc đầy đủ, hỗ trợ xuyên suốt quá trình đặt hàng."
21,43029,2012-07-04,delivered,organic_search,tablet,8724,EMP0152,"Hỗ trợ nhanh chóng, tư vấn rõ ràng, khách hàng hài lòng với trải nghiệm."
22,12621,2012-07-06,cancelled,organic_search,desktop,10019,EMP0131,Khách hàng không có thêm phản hồi về chất lượng hỗ trợ.
23,12213,2012-07-06,delivered,direct,desktop,11777,EMP0150,Khách hàng đánh giá mức độ hài lòng ở mức khá.
24,13426,2012-07-05,delivered,direct,mobile,12148,EMP0053,"Chăm sóc khách hàng tốt, thời gian phản hồi ngắn."
25,14287,2012-07-06,delivered,organic_search,desktop,12572,EMP0002,"Phản hồi thắc mắc đầy đủ, hỗ trợ xuyên suốt quá trình đặt hàng."
